name,iata,icao,lat,lon,ico,alt
"Fort Chipewyan Airport",YPY,CYPY,58.76722,-111.116997,CA,761
"Fort Collins Northern Colorado Regional Airport",FNL,KFNL,40.45182,-105.011002,US,5016
"Fort Dodge Regional Airport",FOD,KFOD,42.551189,-94.191803,US,1156
"Fort Frances Municipal Airport",YAG,CYAG,48.650002,-93.43,CA,1125
"Fort Good Hope Airport",YGH,CYGH,66.240555,-128.645752,CA,230
"Fort Hope Airport",YFH,CYFH,51.559345,-87.897957,CA,905
"Fort Huachuca Sierra Vista Municipal Airport",FHU,KFHU,31.58847,-110.344002,US,4719
"Fort Lauderdale Executive Airport",FXE,KFXE,26.197269,-80.1707,US,13
"Fort Lauderdale Hollywood International Airport",FLL,KFLL,26.07258,-80.152702,US,9
"Fort MacKay Albian Aerodrome",JHL,CAL4,57.2239,-111.418999,CA,1048
"Fort MacKay Firebag Aerodrome",YFI,CYFI,57.275833,-110.976669,CA,1762
"Fort MacKay Horizon Airport",HZP,CYNR,57.381668,-111.701111,CA,916
"Fort McMurray Airport",YMM,CYMM,56.653332,-111.221001,CA,1211
"Fort Meade Tipton Airport",FME,KFME,39.088482,-76.753716,US,151
"Fort Myers Page Field Airport",FMY,KFMY,26.586611,-81.863197,US,17
"Fort Nelson Airport",YYE,CYYE,58.83638,-122.596001,CA,1253
"Fort Pierce Treasure Coast International Airport",FPR,KFPR,27.4951,-80.368301,US,24
"Fort Severn Airport",YER,CYER,56.0177,-87.677505,CA,43
"Fort Simpson Airport",YFS,CYFS,61.760151,-121.236511,CA,561
"Fort Smith Airport",YSM,CYSM,60.020271,-111.960999,CA,671
"Fort Smith Regional Airport",FSM,KFSM,35.336578,-94.367401,US,469
"Fort St. John Airport",YXJ,CYXJ,56.238049,-120.739998,CA,2280
"Fort Stockton Pecos County Airport",FST,KFST,30.914251,-102.917603,US,2997
"Fort Wayne International Airport",FWA,KFWA,40.97847,-85.195099,US,814
"Fort Worth Alliance Airport",AFW,KAFW,32.98,-97.309998,US,722
"Fort Worth Meacham International Airport",FTW,KFTW,32.819771,-97.362396,US,710
"Fort Yukon Airport",FYU,PFYU,66.571487,-145.25,US,447
"Fortaleza Pinto Martins International Airport",FOR,SBFZ,-3.77628,-38.532501,BR,82
"Fortuna Rohnerville Airport",QTO,KFOT,40.553776,-124.132385,US,365
"Foshan Shadi Airport",FUO,ZGFS,23.0825,113.070831,CN,13
"Foz do Iguacu International Airport",IGU,SBFI,-25.5961,-54.487202,BR,787
"Franca Airport",FRC,SIMK,-20.592199,-47.3829,BR,3292
"Francisco Beltrao Airport",FBE,SSFB,-26.059431,-53.063942,BR,2119
"Francistown Phillip Gaonwe Matante International Airport",FRW,FBFT,-21.1591,27.468296,BW,3292
"Frankfort Capital City Airport",FFT,KFFT,38.18,-84.900002,US,812
"Frankfurt Airport",FRA,EDDF,50.037796,8.555783,DE,364
"Frankfurt Egelsbach Airport",QEF,EDFE,49.961109,8.643611,DE,385
"Frankfurt Hahn Airport",HHN,EDFH,49.948669,7.263892,DE,1649
"Franklin Venango Regional Airport",FKL,KFKL,41.379166,-79.859718,US,1540
"Frederick Municipal Airport",FDK,KFDK,39.417599,-77.374298,US,303
"Frederick Regional Airport",FDR,KFDR,34.352001,-98.983902,US,1258
"Fredericton International Airport",YFC,CYFC,45.868881,-66.537201,CA,68
"Freeport Grand Bahama International Airport",FPO,MYGF,26.55868,-78.695503,BS,7
"Freetown Lungi International Airport",FNA,GFLL,8.616444,-13.1954,SL,84
"Freiburg Airport",QCF,EDTF,48.022652,7.832583,DE,797
"Fremont Municipal Airport",FET,KFET,41.4491,-96.520203,US,1204
"Fresno Chandler Executive Airport",FCH,KFCH,36.73214,-119.820335,US,277
"Fresno Yosemite International Airport",FAT,KFAT,36.776192,-119.718002,US,336
"Fribourg Ecuvillens Airport",QYE,LSGE,46.755207,7.075892,CH,2993
"Friday Harbor Airport",FRD,KFHR,48.524807,-123.026497,US,113
"Friedrichshafen Airport",FDH,EDNY,47.67131,9.511486,DE,1367
"Fryeburg Eastern Slopes Regional Airport",FRY,KIZG,43.9911,-70.947899,US,454
"Fuerteventura Airport",FUE,GCFV,28.452709,-13.8637,ES,83
"Fujairah International Airport",FJR,OMFJ,25.112221,56.323959,AE,152
"Fukue Airport",FUJ,RJFE,32.66626,128.832794,JP,273
"Fukuoka Airport",FUK,RJFF,33.585941,130.450607,JP,32
"Fukushima Airport",FKS,RJSF,37.227428,140.430603,JP,1221
"Fullerton Municipal Airport",FUL,KFUL,33.872013,-117.979782,US,96
"Funadhoo Airport",FND,VRCF,6.161111,73.287224,MV,6
"Funafuti International Airport",FUN,NGFU,-8.525,179.196304,TV,9
"Funchal Cristiano Ronaldo Airport",FNC,LPMA,32.69788,-16.774401,PT,192
"Futuna Airport",FTA,NVVF,-19.5163,170.231903,VU,-1
